# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -i 506600000000 -s 10000000 /dev/sdf /dev/sdg dc_roig.log -nvvf -MA -e 1 -a 100000
# Start time:   2015-02-12 17:18:24
# Current time: 2015-02-12 17:20:47
# Copying non-tried blocks... Pass 1 (forwards)
# current_pos  current_status
0x75F3BC0000     ?
#      pos        size  status
0x1E9D3EB000  0x0026F000  +
0x1E9D65A000  0x00001000  ?
0x1E9D65B000  0x0011A000  +
0x1E9D775000  0x00000200  -
0x1E9D775200  0x00000C00  ?
0x1E9D775E00  0x00000200  -
0x1E9D776000  0x0011A000  +
0x1E9D890000  0x00001000  ?
0x1E9D891000  0x0011A000  +
0x1E9D9AB000  0x00001000  ?
0x1E9D9AC000  0x0011A000  +
0x1E9DAC6000  0x00001000  ?
0x1E9DAC7000  0x0026F000  +
0x1E9DD36000  0x00001000  ?
0x1E9DD37000  0x0011A000  +
0x1E9DE51000  0x00001000  ?
0x1E9DE52000  0x0011A000  +
0x1E9DF6C000  0x00001000  ?
0x1E9DF6D000  0x0011A000  +
0x1E9E087000  0x00000200  -
0x1E9E087200  0x00000C00  ?
0x1E9E087E00  0x00000200  -
0x1E9E088000  0x0011A000  +
0x1E9E1A2000  0x00001000  ?
0x1E9E1A3000  0x0011A000  +
0x1E9E2BD000  0x00001000  ?
0x1E9E2BE000  0x0026F000  +
0x1E9E52D000  0x00001000  ?
0x1E9E52E000  0x0011A000  +
0x1E9E648000  0x00001000  ?
0x1E9E649000  0x0011A000  +
0x1E9E763000  0x00001000  ?
0x1E9E764000  0x0011A000  +
0x1E9E87E000  0x00001000  ?
0x1E9E87F000  0x0011A000  +
0x1E9E999000  0x00001000  ?
0x1E9E99A000  0x0011A000  +
0x1E9EAB4000  0x00000200  -
0x1E9EAB4200  0x00000C00  ?
0x1E9EAB4E00  0x00000200  -
0x1E9EAB5000  0x0026F000  +
0x1E9ED24000  0x00001000  ?
0x1E9ED25000  0x0011A000  +
0x1E9EE3F000  0x00001000  ?
0x1E9EE40000  0x0011A000  +
0x1E9EF5A000  0x00001000  ?
0x1E9EF5B000  0x0011A000  +
0x1E9F075000  0x00001000  ?
0x1E9F076000  0x0011A000  +
0x1E9F190000  0x00001000  ?
0x1E9F191000  0x0011A000  +
0x1E9F2AB000  0x00001000  ?
0x1E9F2AC000  0x0026F000  +
0x1E9F51B000  0x00000200  -
0x1E9F51B200  0x00000C00  ?
0x1E9F51BE00  0x00000200  -
0x1E9F51C000  0x0011A000  +
0x1E9F636000  0x00001000  ?
0x1E9F637000  0x0011B000  +
0x1E9F752000  0x00001000  ?
0x1E9F753000  0x0011A000  +
0x1E9F86D000  0x00001000  ?
0x1E9F86E000  0x0011A000  +
0x1E9F988000  0x00001000  ?
0x1E9F989000  0x0011A000  +
0x1E9FAA3000  0x00001000  ?
0x1E9FAA4000  0x0026F000  +
0x1E9FD13000  0x00000200  -
0x1E9FD13200  0x00000C00  ?
0x1E9FD13E00  0x00000200  -
0x1E9FD14000  0x0011A000  +
0x1E9FE2E000  0x00001000  ?
0x1E9FE2F000  0x0011A000  +
0x1E9FF49000  0x00001000  ?
0x1E9FF4A000  0x0011A000  +
0x1EA0064000  0x00001000  ?
0x1EA0065000  0x0011A000  +
0x1EA017F000  0x00001000  ?
0x1EA0180000  0x0011A000  +
0x1EA029A000  0x00001000  ?
0x1EA029B000  0x0026F000  +
0x1EA050A000  0x00001000  ?
0x1EA050B000  0x0011A000  +
0x1EA0625000  0x00001000  ?
0x1EA0626000  0x0011A000  +
0x1EA0740000  0x00000200  -
0x1EA0740200  0x00000C00  ?
0x1EA0740E00  0x00000200  -
0x1EA0741000  0x0011A000  +
0x1EA085B000  0x00001000  ?
0x1EA085C000  0x0011A000  +
0x1EA0976000  0x00001000  ?
0x1EA0977000  0x0011A000  +
0x1EA0A91000  0x00001000  ?
0x1EA0A92000  0x0026F000  +
0x1EA0D01000  0x00001000  ?
0x1EA0D02000  0x0011A000  +
0x1EA0E1C000  0x00001000  ?
0x1EA0E1D000  0x0011A000  +
0x1EA0F37000  0x00001000  ?
0x1EA0F38000  0x0011A000  +
0x1EA1052000  0x00000200  -
0x1EA1052200  0x00000C00  ?
0x1EA1052E00  0x00000200  -
0x1EA1053000  0x004A5000  +
0x1EA14F8000  0x00001000  ?
0x1EA14F9000  0x23ED5000  +
0x1EC53CE000  0x00000200  -
0x1EC53CE200  0x00000C00  ?
0x1EC53CEE00  0x00000200  -
0x1EC53CF000  0x00235000  +
0x1EC5604000  0x00000200  -
0x1EC5604200  0x00000C00  ?
0x1EC5604E00  0x00000200  -
0x1EC5605000  0x0026F000  +
0x1EC5874000  0x00001000  ?
0x1EC5875000  0x00235000  +
0x1EC5AAA000  0x00001000  ?
0x1EC5AAB000  0x0011A000  +
0x1EC5BC5000  0x00001000  ?
0x1EC5BC6000  0x0011A000  +
0x1EC5CE0000  0x00001000  ?
0x1EC5CE1000  0x0011A000  +
0x1EC5DFB000  0x00001000  ?
0x1EC5DFC000  0x0026F000  +
0x1EC606B000  0x00000200  -
0x1EC606B200  0x00000C00  ?
0x1EC606BE00  0x00000200  -
0x1EC606C000  0x0011A000  +
0x1EC6186000  0x00001000  ?
0x1EC6187000  0x0011A000  +
0x1EC62A1000  0x00001000  ?
0x1EC62A2000  0x0011A000  +
0x1EC63BC000  0x00001000  ?
0x1EC63BD000  0x0011B000  +
0x1EC64D8000  0x00001000  ?
0x1EC64D9000  0x0011A000  +
0x1EC65F3000  0x00001000  ?
0x1EC65F4000  0x0026F000  +
0x1EC6863000  0x00001000  ?
0x1EC6864000  0x0011A000  +
0x1EC697E000  0x00000200  -
0x1EC697E200  0x00000C00  ?
0x1EC697EE00  0x00000200  -
0x1EC697F000  0x0011A000  +
0x1EC6A99000  0x00001000  ?
0x1EC6A9A000  0x0011A000  +
0x1EC6BB4000  0x00001000  ?
0x1EC6BB5000  0x0011A000  +
0x1EC6CCF000  0x00001000  ?
0x1EC6CD0000  0x0011A000  +
0x1EC6DEA000  0x00001000  ?
0x1EC6DEB000  0x0026F000  +
0x1EC705A000  0x00001000  ?
0x1EC705B000  0x0011A000  +
0x1EC7175000  0x00001000  ?
0x1EC7176000  0x0011A000  +
0x1EC7290000  0x00000200  -
0x1EC7290200  0x00000C00  ?
0x1EC7290E00  0x00000200  -
0x1EC7291000  0x0011A000  +
0x1EC73AB000  0x00001000  ?
0x1EC73AC000  0x0011A000  +
0x1EC74C6000  0x00001000  ?
0x1EC74C7000  0x0026F000  +
0x1EC7736000  0x00001000  ?
0x1EC7737000  0x0011A000  +
0x1EC7851000  0x00001000  ?
0x1EC7852000  0x0011A000  +
0x1EC796C000  0x00001000  ?
0x1EC796D000  0x0011A000  +
0x1EC7A87000  0x00001000  ?
0x1EC7A88000  0x0011A000  +
0x1EC7BA2000  0x00001000  ?
0x1EC7BA3000  0x0011A000  +
0x1EC7CBD000  0x00000200  -
0x1EC7CBD200  0x00000C00  ?
0x1EC7CBDE00  0x00000200  -
0x1EC7CBE000  0x0038A000  +
0x1EC8048000  0x00001000  ?
0x1EC8049000  0x0011A000  +
0x1EC8163000  0x00001000  ?
